rank,title,director,actors,genre,Description,runtime,Votes,rating
200,Hour of Lead,Peter Facinelli,"Anne Heche, Thomas Jane, Jason Patric, Alex Haydon","Crime, Mystery, Thriller","Story of a husband and wife that will stop at nothing to find their missing daughter, who disappeared on a family camping trip. When the police don't catch any leads, the duo take over.",115,8753,5.7
201,Blithe Spirit,Edward Hall,"Dan Stevens, Isla Fisher, Aimee-Ffion Edwards, Michele Dotrice","Comedy, Fantasy, Romance","A spiritualist medium holds a seance for a writer suffering from writer's block but accidentally summons the spirit of his deceased first wife, which leads to an increasingly complex love triangle with his current wife of five years.",99,4573,5.4
202,Force of Nature,Michael Polish,"Emile Hirsch, Mel Gibson, David Zayas, Kate Bosworth","Action, Crime, Drama",A gang of thieves plan a heist during a hurricane and encounter trouble when a cop tries to force everyone in the building to evacuate.,91,9378,4.5
203,The Toll,Michael Nader,"Jordan Hayes, Max Topplin, James McGowan, Rosemary Dunsmore","Horror, Thriller",A socially awkward driver and a weary passenger try to make it to their destination while being haunted by a supernatural threat.,80,1913,5.3
204,One Night in Miami...,Regina King,"Kingsley Ben-Adir, Eli Goree, Aldis Hodge, Leslie Odom Jr.",Drama,"A fictional account of one incredible night where icons Muhammad Ali, Malcolm X, Sam Cooke, and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.",114,28574,7.1
205,What Lies Below,Braden R. Duemmler,"Ema Horvath, Troy Iwata, Danny Corbo, Mena Suvari","Horror, Mystery, Sci-Fi","A 16-year-old girl returns home from camp and learns that her mother has a new boyfriend, one she intends to marry. A man whose charm, intelligence and beauty make him look like he's not human at all.",87,7461,4.3
206,Butchers,Adrian Langley,"Simon Phillips, Michael Swatton, Julie Mainville, Anne-Carolyne Binette",Horror,"A family of sadistic butchers has dug into the back country and, from the deep freeze of winter to the dog days of summer, anyone who crosses their path is dead meat.",92,1553,4.6
207,Percy,Clark Johnson,"Christopher Walken, Roberta Maxwell, Christina Ricci, Zach Braff","Biography, Drama",A Canadian farmer takes on a giant corporation after their GMOs interfere with his crops.,99,1088,6.4
208,Rogue,M.J. Bassett,"Megan Fox, Philip Winchester, Greg Kriek, Brandon Auret","Action, Horror, Thriller","O'Hara is a mercenary leading a squad of soldiers on their mission to rescue hostages in remote part of Africa. Unfortunately the mission goes wrong and the team are stranded, forced to survive against the local rebels.",105,7177,4
209,Dara iz Jasenovca,Predrag Antonijevic,"Biljana Cekic, Zlatan Vidovic, Anja Stanic, Luka Saranovic","Drama, War",Follows the story of a young girl named Dara who is sent to a concentration camp in Croatia during World War 2.,130,79001,8.9
210,Penguin Bloom,Glendyn Ivin,"Naomi Watts, Griffin Murray-Johnston, Andrew Lincoln, Essi Murray-Johnston",Drama,A family takes in an injured Magpie that makes a profound difference in their lives.,95,7898,6.8
211,Ghosts of War,Eric Bress,"Brenton Thwaites, Kyle Gallner, Alan Ritchson, Theo Rossi","Horror, Thriller, War",Five American soldiers assigned to hold a French Chateau near the end of World War II. This unexpected respite quickly descends into madness when they encounter a supernatural enemy more terrifying than anything seen on the battlefield.,94,8400,5.5
212,Voces,Ángel Gómez Hernández,"Rodolfo Sancho, Ana Fernández, Ramón Barea, Belén Fabra","Drama, Horror, Mystery","Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door.",97,11866,6.1
213,No Man's Land,Conor Allyn,"Jake Allyn, Frank Grillo, Jorge A. Jimenez, Andie MacDowell","Action, Adventure, Thriller","When a vigilante border patrol turns fatal, a man flees on horseback to Mexico, seeking forgiveness from the victim's father.",114,752,5
214,Valley Girl,Rachel Lee Goldenberg,"Jessica Rothe, Josh Whitehouse, Jessie Ennis, Ashleigh Murray","Comedy, Musical, Romance","Set to a new wave '80s soundtrack, a pair of young lovers from different backgrounds defy their parents and friends to stay together. A musical adaptation of the 1983 film.",102,3174,5.5
215,Initiation,John Berardo,"Isabella Gomez, Lindsay LaVanchy, Froy Gutierrez, James Berardo","Crime, Horror, Mystery","Whiton University unravels the night a star-athlete is murdered, kicking off a spree of social media slayings that force students to uncover the truth behind the school's hidden secrets and the horrifying meaning of an exclamation point.",96,2466,5.1
216,Spell,Mark Tonderai,"Omari Hardwick, Loretta Devine, Lorraine Burroughs, Hannah Gonera","Horror, Thriller",A man crash lands in rural Appalachia and awakens in the attic of a traditional Hoodoo practitioner. He desperately tries to break free from her dark magic and save his family from a sinister ritual before the rise of the blood moon.,91,4865,5.5
217,On the Rocks,Sofia Coppola,"Bill Murray, Rashida Jones, Marlon Wayans, Jessica Henwick","Comedy, Drama, Romance",A young mother reconnects with her larger-than-life playboy father on an adventure through New York.,96,27412,6.5
218,Mainstream,Gia Coppola,"Andrew Garfield, Maya Hawke, Nat Wolff, Kalena Yiaueki","Comedy, Drama","In this cautionary tale, three people struggle to preserve their identities as they form an eccentric love triangle within the fast-moving internet age.",94,1804,4.9
219,Vicious Fun,Cody Calahan,"Evan Marsh, Amber Goldfarb, Ari Millen, Julian Richings","Comedy, Horror","Joel, a caustic 1980s film critic for a national horror magazine, finds himself unwittingly trapped in a self-help group for serial killers. With no other choice, Joel attempts to blend in or risk becoming the next victim.",101,2506,6.6
220,Lorelei,Sabrina Doyle,"Jena Malone, Pablo Schreiber, Ryan Findley, Cory Ellis",Drama,"A working-class fable about a biker, a mermaid and three shades of blue.",111,885,6.2
221,"Quo vadis, Aida?",Jasmila Zbanic,"Jasna Djuricic, Izudin Bajrovic, Boris Ler, Dino Bajrovic","Drama, History, War","Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp.",101,25081,7.9
222,Love Wedding Repeat,Dean Craig,"Sam Claflin, Olivia Munn, Freida Pinto, Eleanor Tomlinson","Comedy, Romance","While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl that got away in alternate versions of the same day.",100,19042,5.5
223,Deep Blue Sea 3,John Pogue,"Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster","Action, Horror, Sci-Fi","Studying the effects of climate change off the coast of Mozambique, a marine biologist and her team confront three genetically enhanced bull sharks. Now, a new bloodbath is waiting to happen in the name of science. Will humans never learn?",100,5575,4.7
224,Over the Moon,Glen Keane,"Glen Keane, Brycen Hall, Ruthie Ann Miles, John Cho","Animation, Adventure, Comedy","In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",95,19225,6.4
225,Shithouse,Cooper Raiff,"Cooper Raiff, Dylan Gelula, Amy Landecker, Logan Miller","Comedy, Drama, Romance",A lonely college freshman forges a strong connection with his resident assistant during a fraternity party.,100,3295,6.8
226,Horse Girl,Jeff Baena,"Alison Brie, Molly Shannon, Goldenite, Stella Chestnut","Drama, Mystery, Thriller","Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life.",103,16187,5.9
227,Embattled,Nick Sarkisov,"Drew Starkey, Elizabeth Reaser, Stephen Dorff, Donald Faison","Action, Drama, Sport","A son aspires to follow in his famous MMA father's footsteps, but along his journey must figure out how to break the abusive cycle, if possible, that his father has continued.",117,2028,6.5
228,Grizzly II: The Predator,André Szöts,"George Clooney, Laura Dern, Charlie Sheen, Louise Fletcher","Horror, Music, Thriller","All hell breaks loose when a giant Grizzly, reacting to the slaughter of Grizzlies by poachers, attacks at a massive big-band rock concert in the National Park.",74,768,3.3
229,"Crazy, Rich and Deadly",Danny Buday,"Renae Anderson, Jon Briddell, Alanna Foley, Rose Han",Thriller,"When Brandi arrives at her boyfriend Aaron's family estate, she is surprised to discover that his father is one of the richest men in the country. But as Brandi falls deeper in love, she ... See full summary »",84,56,5.3
230,Lost Girls,Liz Garbus,"Amy Ryan, Thomasin McKenzie, Gabriel Byrne, Lola Kirke","Drama, Mystery, Thriller","When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",95,19333,6.1
231,The High Note,Nisha Ganatra,"Dakota Johnson, Tracee Ellis Ross, Kelvin Harrison Jr., Bill Pullman","Drama, Music, Romance",A superstar singer and her overworked personal assistant are presented with a choice that could alter the course of their respective careers.,113,8700,6.4
232,The Grudge,Nicolas Pesce,"Tara Westwood, Junko Bailey, David Lawrence Brown, Zoe Fish","Fantasy, Horror",A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,94,22681,4.3
233,Allagash,John Barr,"Tom Berenger, Kristen Hager, Paul Ben-Victor, Jimmy LeBlanc","Drama, Thriller",A retired veteran hunting in Northern Maine stumbles across a dead woman and a large sum of money.,89,1717,5.2
234,Skylines,Liam O'Donnell,"Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra","Action, Adventure, Sci-Fi","When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",113,6888,4.7
235,Six Minutes to Midnight,Andy Goddard,"Nigel Lindsay, Judi Dench, Eddie Izzard, Jim Broadbent","Drama, Thriller","UK, Aug. 15, 1939: 17 days before WWII, an English teacher and his camera disappear on a coastal boarding school with 20 German teen girls. Miller gets the job 6 days later, secretly trying to find out what happened.",99,2860,5.7
236,Misbehaviour,Philippa Lowthorpe,"Keira Knightley, Gugu Mbatha-Raw, Jessie Buckley, Greg Kinnear","Comedy, Drama, History",A group of women hatch a plan to disrupt the 1970 Miss World beauty competition in London.,106,7062,6.3
237,The Banker,George Nolfi,"Anthony Mackie, Samuel L. Jackson, Nicholas Hoult, Nia Long","Biography, Drama",In the 1960s two African-American entrepreneurs hire a working-class white man to pretend to be the head of their business empire while they pose as a janitor and chauffeur.,120,23875,7.3
238,She Ball,Nick Cannon,"Rosa Acosta, K.D. Aubert, Delpha Baxter, Dj Bling","Comedy, Drama, Sport","She Ball follows the love of the game through the struggles of Avery Watts, who enlists the baddest women's streetball league in the city to help him save the embattled Inglewood Community ... See full summary »",97,242,2.6
239,The Turning,Floria Sigismondi,"Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Barbara Marten","Drama, Horror, Mystery","A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",94,11409,3.8
240,De slag om de Schelde,Matthijs van Heijningen Jr.,"Gijs Blom, Jamie Flatters, Susan Radder, Jan Bijvoet","Drama, War","1944, the Second World War. A British glider pilot, a Dutch boy fighting on the German side and a Dutch female resistance member all end up involved in the Battle of the Scheldt. Their choices differ, but their goal is the same: freedom.",124,2268,7.5
241,The Stand In,Jamie Babbit,"Drew Barrymore, Sarah Jes Austell, Michael Zegen, T.J. Miller","Comedy, Drama",THE STAND-IN is the story of a disaffected comedy actress and her ambitious stand-in trading places.,101,2759,4.6
242,Clouds,Justin Baldoni,"Fin Argus, Neve Campbell, Sabrina Carpenter, Madison Iseman","Drama, Music","Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",121,8051,7.5
243,Ba bai,Hu Guan,"Zhi-zhong Huang, Zhang Junyi, Hao Ou, Xiaoguang Hu","Action, Drama, History","From the acclaimed filmmaker behind Mr. Six comes a riveting war epic. In 1937, eight hundred Chinese soldiers fight under siege from a warehouse in the middle of the Shanghai battlefield, completely surrounded by the Japanese army.",149,4074,6.8
244,Inheritance,Vaughn Stein,"Lily Collins, Simon Pegg, Connie Nielsen, Chace Crawford","Drama, Mystery, Thriller","The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family.",111,10840,5.5
245,The Last Thing He Wanted,Dee Rees,"Anne Hathaway, Ben Affleck, Rosie Perez, Willem Dafoe","Crime, Drama, Thriller",A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.,115,13905,4.3
246,Come Away,Brenda Chapman,"Gugu Mbatha-Raw, Carter Thomas, Ava Fillery, Jonathan Garcia","Adventure, Drama, Fantasy","When their eldest brother dies, Peter and Alice seek to save their parents from despair until they are forced to choose between home and imagination, setting the stage for their iconic journeys into Wonderland and Neverland.",94,4025,5.8
247,The Secret Garden,Marc Munden,"Dixie Egerickx, Richard Hansell, David Verrey, Tommy Gene Surridge","Drama, Family, Fantasy",An orphaned girl discovers a magical garden hidden at her strict uncle's estate.,99,7459,5.5
248,The Doorman,Ryûhei Kitamura,"Ruby Rose, Jean Reno, Aksel Hennie, Rupert Evans","Action, Drama, Thriller","A woman returns from combat and befriends a family in NYC. A gang of thieves plot to take the family's valuables, and she is all that stands between them and their lives.",97,4972,4.5
249,The Secrets We Keep,Yuval Adler,"Noomi Rapace, Joel Kinnaman, Chris Messina, Jackson Dean Vincent","Drama, Thriller","In post-WWII America, a woman, rebuilding her life in the suburbs with her husband, kidnaps her neighbor and seeks vengeance for the heinous war crimes she believes he committed against her.",97,4725,5.8
250,Concrete Cowboy,Ricky Staub,"Idris Elba, Caleb McLaughlin, Lorraine Toussaint, Jharrel Jerome",Drama,"Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",111,7350,6.3
251,The Night,Kourosh Ahari,"Shahab Hosseini, Niousha Noor, Leah Oganyan, George Maguire","Horror, Mystery, Thriller","An Iranian couple living in the US become trapped inside a hotel when insidious events force them to face the secrets that have come between them, in a night that never ends.",105,2074,5.5
252,Held,Travis Cluff,"Jill Awbrey, Bart Johnson, Travis Cluff, Zack Gold","Horror, Mystery, Thriller",A couple's ailing marriage is put to the test when they are held hostage in an isolated vacation rental by an unseen Voice that commands their every move.,94,1568,5.2
253,The Broken Hearts Gallery,Natalie Krinsky,"Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar, Molly Gordon","Comedy, Romance","After a break-up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",109,6003,6.3
254,Come True,Anthony Scott Burns,"Julia Sarah Stone, Landon Liboiron, Carlee Ryski, Christopher Heatherington","Horror, Sci-Fi",A teenage runaway takes part in a sleep study that becomes a nightmarish descent into the depths of her mind and a frightening examination of the power of dreams.,105,6040,5.9
255,The Last Days of American Crime,Olivier Megaton,"Neels Clasen, Edgar Ramírez, Tony Caprari, Kate Normington","Action, Crime, Drama","In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",148,10570,3.7
256,Black Box,Emmanuel Osei-Kuffour,"Mamoudou Athie, Phylicia Rashad, Amanda Christine, Tosin Morohunfola","Horror, Mystery, Sci-Fi","After losing his wife and his memory in a car accident, a single father undergoes an agonizing experimental treatment that causes him to question who he really is.",100,12014,6.2
257,Nocturne,Zu Quirke,"Sydney Sweeney, Madison Iseman, Jacques Colimon, Ivan Shaw","Horror, Mystery, Thriller",An incredibly gifted pianist makes a Faustian bargain to overtake her older sister at a prestigious institution for classical musicians.,90,6958,5.7
258,Black Bear,Lawrence Michael Levine,"Aubrey Plaza, Christopher Abbott, Sarah Gadon, Paola Lázaro","Comedy, Drama","A filmmaker at a creative impasse seeks solace from her tumultuous past at a rural retreat, only to find that the woods summon her inner demons in intense and surprising ways.",104,8326,6.6
259,Anything for Jackson,Justin G. Dyck,"Sheila McCarthy, Julian Richings, Konstantina Mantelos, Josh Cruddas",Horror,A bereaved Satanist couple kidnap a pregnant woman so they can use an ancient spellbook to put their dead grandson's spirit into her unborn child but end up summoning more than they bargained for.,97,5972,6.3
260,Persian Lessons,Vadim Perelman,"Nahuel Pérez Biscayart, Lars Eidinger, Jonas Nay, David Schütter","Drama, War",A young Jewish man pretends to be Iranian to avoid being executed in a concentration camp.,127,4671,7.4
261,A Fall from Grace,Tyler Perry,"Crystal Fox, Phylicia Rashad, Bresha Webb, Mehcad Brooks","Drama, Fantasy, Thriller","Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",120,13676,5.9
262,Follow Me,Will Wernick,"Keegan Allen, Holland Roden, Denzel Whitaker, Ronen Rubinstein","Adventure, Horror, Mystery","A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger.",91,9165,5.4
263,Feral State,Jon Carlo,"AnnaLynne McCord, Ronnie Gene Blevins, Sif Saga, Octavio Pisano",Thriller,A misfit gang of runaways and orphans are taken in by a dark and charismatic father figure who together wreak havoc throughout swamps and trailer parks of central Florida.,84,2414,6.4
264,Son of the South,Barry Alexander Brown,"Lucas Till, Jim Klock, Michael Sirow, Jake Abel","Biography, Drama","The true story of one young white Southerner in the Summer of 1961, caught in a place and time where he had to choose which side he was on.",105,937,5.8
265,Chemical Hearts,Richard Tanne,"Lili Reinhart, Austin Abrams, Sarah Jones, Adhir Kalyan","Drama, Romance",A high-school transfer student finds a new passion when she begins to work on the school's newspaper.,93,10638,6.3
266,Resistance,Jonathan Jakubowicz,"Jesse Eisenberg, Clémence Poésy, Matthias Schweighöfer, Félix Moati","Biography, Drama, History",The story of mime Marcel Marceau as he works with a group of Jewish boy scouts and the French Resistance to save the lives of ten thousand orphans during World War II.,120,5773,6.4
267,Never Rarely Sometimes Always,Eliza Hittman,"Sidney Flanigan, Talia Ryder, Théodore Pellerin, Eliazar Jimenez",Drama,A pair of teenage girls in rural Pennsylvania travel to New York City to seek out medical help after an unintended pregnancy.,101,23315,7.4
268,001LithiumX,Guy Moshe,"Juliet Aubrey, Anna Brewster, Gabrielle Cassi, James D'Arcy","Drama, Sci-Fi, Thriller",A fatally ill man tries to secure the future of his family in a world where the toxicity of the sun forces people to stay inside during the daytime.,103,1300,4.9
269,Post Mortem,Péter Bergendy,"Viktor Klem, Fruzsina Hais, Judit Schell, Andrea Ladányi","Horror, Mystery, Thriller",A post mortem photographer and a little girl confront ghosts in a haunted village after the First World War.,115,511,6
270,Poster Boys,Dave Minogue,"Trevor O'Connell, Ryan Minogue-Lee, Norma Sheahan, Amy Hughes","Comedy, Drama","With the help of his smart ass kid nephew, broke Al Clancy steals a camper-van and heads on a cross country road trip to finally get his life together.",87,132,5.4
271,The One and Only Ivan,Thea Sharrock,"Sam Rockwell, Bryan Cranston, Phillipa Soo, Chaka Khan","Adventure, Comedy, Drama",A gorilla named Ivan tries to piece together his past with the help of an elephant named Ruby as they hatch a plan to escape from captivity.,95,11158,6.6
272,L'incredibile storia dell'Isola delle Rose,Sydney Sibilia,"Elio Germano, Leonardo Lidi, Matilda De Angelis, Tom Wlaschiha","Adventure, Comedy, Drama","An idealistic engineer builds his own island off the Italian coast and declares it a nation, drawing the world's attention. Values are tested when the Italian Government declares him an enemy, but to change the world risks must be taken.",117,16749,7
273,Caveat,Damian Mc Carthy,"Ben Caplan, Jonathan French, Leila Sykes, Inma Pavon","Horror, Thriller",A lone drifter suffering from partial memory loss accepts a job to look after a psychologically troubled woman in an abandoned house on an isolated island.,88,2356,5.9
274,The Block Island Sound,Kevin McManus,"Chris Sheffield, Michaela McManus, Neville Archambault, Ryan O'Flanagan","Horror, Mystery, Sci-Fi","Something lurks off the coast of Block Island, silently influencing the behavior of fisherman, Tom Lynch. After suffering a series of violent outbursts, he unknowingly puts his family in grave danger.",99,6258,5.3
275,The Half of It,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire, Wolfgang Novogratz","Comedy, Drama, Romance","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",104,32202,6.9
276,The Sleepover,Trish Sie,"Sadie Stanley, Maxwell Simkins, Cree Cicchino, Lucas Jaye","Action, Adventure, Comedy","When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night.",100,9276,5.7
277,The Killing of Two Lovers,Robert Machoian,"Clayne Crawford, Sepideh Moafi, Chris Coy, Avery Pizzuto",Drama,David desperately tries to keep his family of six together during a separation from his wife. They both agree to see other people but David struggles to grapple with his wife's new relationship.,85,2243,7
278,Shirley,Josephine Decker,"Elisabeth Moss, Odessa Young, Michael Stuhlbarg, Logan Lerman","Biography, Drama, Mystery",A famous horror writer finds inspiration for her next book after she and her husband take in a young couple.,107,10112,6.1
279,Girl,Chad Faust,"Bella Thorne, Emma-Leigh Cullum, Elizabeth Saunders, Michael Lipka",Thriller,"A young woman returns to her small hometown intent on killing her abusive father only to discover someone murdered him the day before. As the girl searches for answers, she uncovers a family legacy more dangerous than she'd imagined.",92,2278,4.9
280,The Man Who Sold His Skin,Kaouther Ben Hania,"Yahya Mahayni, Dea Liane, Koen De Bouw, Monica Bellucci",Drama,"His own body turned into a living work of art and promptly exhibited in a museum, Sam, a Syrian refugee, will soon realize to have sold away more than just his skin.",104,3600,7
281,The Very Excellent Mr. Dundee,Dean Murphy,"Dorothy Adams, Trudy Ager, Simone Annan, Kerry Armstrong",Comedy,Paul Hogan is reluctantly thrust back into the spotlight as he desperately attempts to restore his sullied reputation on the eve of being knighted.,88,1451,4.9
282,Mortal,André Øvredal,"Nat Wolff, Priyanka Bose, Iben Akerlie, Arthur Hakalahti","Action, Adventure, Drama",Fantasy adventure origin story about a young man discovering he has God-like powers based on ancient Norwegian mythology.,104,7524,6
283,Vtorzhenie,Fedor Bondarchuk,"Irina Starshenbaum, Rinal Mukhametov, Alexander Petrov, Yuriy Borisov","Action, Sci-Fi","With the fall of the alien ship Julia's life changed, now three years later mankind is about to experience new encounter.",134,4320,5.6
284,Mignonnes,Maïmouna Doucouré,"Fathia Youssouf, Médina El Aidi-Azouni, Esther Gohourou, Ilanah Cami-Goursolas",Drama,"Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.",96,29002,3.2
285,Dinner in America,Adam Rehmeier,"Kyle Gallner, Yancey Fuqua, Jennifer Kincer, Hannah Marks","Comedy, Drama, Music",An on-the-lam punk rocker and a young woman obsessed with his band unexpectedly fall in love and go on an epic journey together through America's decaying Midwestern suburbs.,106,1294,7.2
286,Boys from County Hell,Chris Baugh,"Jack Rowan, Nigel O'Neill, Louisa Harland, Michael Hough","Comedy, Horror","A crew of hardy road workers, led by a bickering Father and Son, must survive the night when they accidentally awaken an ancient Irish vampire.",88,2304,6
287,Her Name Was Christa,James L. Edwards,"Shianne Daye, James L. Edwards, Drew Fortier, Rick Jermain","Horror, Romance, Thriller","Stephen is a socially awkward, middle aged telemarketer and is desperately alone. At the suggestion of Nick, a co-worker, he goes out into the night to find a prostitute for ""The Girlfriend... See full summary »",119,2078,4.5
288,Nneka the Pretty Serpent,Zeb Ejiro,"Onikosi Bukola Abisoye, Bimbo Ademoye, Olamide Afolabi, Rosemary Afuwape","Horror, Mystery","When her parents are murdered, Nneka encounters the Queen of the Coast who offers to help her in revealing the identities of people who killed her parents. This changes the course of her life as she sets out on a mission of revenge.",140,69,4.8
289,Dil Bechara,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee","Comedy, Drama, Romance","The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",101,123751,8.1
290,Tesla,Michael Almereyda,"Ethan Hawke, Eve Hewson, Eli A. Smith, Josh Hamilton","Biography, Drama","A freewheeling take on visionary inventor Nikola Tesla, his interactions with Thomas Edison and J.P. Morgan's daughter Anne, and his breakthroughs in transmitting electrical power and light.",102,7750,5
291,Death of Me,Darren Lynn Bousman,"Maggie Q, Luke Hemsworth, Alex Essoe, Kat Ingkarat","Horror, Mystery, Thriller",A vacationing couple must discover the mystery behind a strange video that shows one of them killing the other.,94,5185,4.4
292,I'm Your Woman,Julia Hart,"Rachel Brosnahan, Marsha Stephanie Blake, Arinzé Kene, Jameson Charles","Crime, Drama","In this 1970s set crime drama, a woman is forced to go on the run after her husband betrays his partners, sending her and her baby on a dangerous journey.",120,7820,6.2
293,Little Fish,Chad Hartigan,"Olivia Cooke, Jack O'Connell, Soko, Raúl Castillo","Drama, Romance, Sci-Fi",A couple fights to hold their relationship together as a memory loss virus spreads and threatens to erase the history of their love and courtship.,101,2921,6.9
294,Nuevo orden,Michel Franco,"Naian González Norvind, Fernando Cuautle, Diego Boneta, Samantha Yazareth Anaya",Drama,A lavish high-society wedding unexpectedly turns into a class struggle that leads to a violent coup.,86,4754,6.4
295,The 2nd,Brian Skiba,"Ryan Phillippe, Casper Van Dien, Jack Griffo, Lexi Simonsen","Action, Drama",An Army Delta Force officer is late picking up his son at college. His son and a Supreme Court Justice's daughter are the last there. A gang of terrorists are there to abduct her and force her dad's hand on a Second Amendment vote.,93,7985,3.8
296,Mortal Kombat Legends: Scorpion's Revenge,Ethan Spaulding,"Jennifer Carpenter, Joel McHale, Ike Amadi, Steve Blum","Animation, Action, Adventure",Hanzo Hasashi loses his family during an attack by a rival clan the Lin Kuei. He is given the chance to compete in an inter-dimensional tournament to save his loved ones while other fighters try to save the Earth realm from annihilation.,80,15279,7.5
297,Target Number One,Daniel Roby,"Antoine Olivier Pilon, Josh Hartnett, Stephen McHattie, Jim Gaffigan","Crime, Thriller","In 1989, a Canadian journalist investigates the circumstances surrounding the suspicious arrest of a heroin addict imprisoned in a Thai jail.",125,4012,6.1
298,Tigers,Ronnie Sandahl,"Alfred Enoch, Frida Gustavsson, Liv Mjönes, Erik Enge",Drama,"The true story of teenage football talent Martin Bengtsson's life-and-death journey through a modern-day football industry where everything, and everyone, has a price tag.",116,347,7
299,The Boys in the Band,Joe Mantello,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells",Drama,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",121,13573,6.8
