rank,title,director,actors,genre,Description,runtime,Votes,rating
300,Paper Tiger,Paul Kowalski,"Lydia Look, Alan Trong, Elaine Kao, Seth Numrich","Drama, Thriller",An immigrant mother fears her mentally-ill teenaged son is turning into a school shooter.,94,86,6.3
301,"Love, Weddings & Other Disasters",Dennis Dugan,"Maggie Grace, Diane Keaton, Jeremy Irons, Todd Stashwick","Comedy, Romance","It is a multi-story romantic comedy about the people who work on weddings to create the perfect day for a loving couple - while their own relationships are outlandish, odd, crazy and far from perfect.",96,1420,5
302,Night in Paradise,Park Hoon-jung,"Tae-goo Eom, Jeon Yeo-bin, Seung-Won Cha, Dong-in Cho","Action, Crime, Drama","Hiding out in Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has her own demons.",131,5057,6.7
303,Herself,Phyllida Lloyd,"Molly McCann, Clare Dunne, Ruby Rose O'Hara, Ian Lloyd Anderson",Drama,A young mother escapes her abusive husband and fights back against a broken housing system. She sets out to build her own home and in the process rebuilds her life and re-discovers herself.,97,2438,7
304,The Owners,Julius Berg,"Maisie Williams, Sylvester McCoy, Rita Tushingham, Jake Curran","Comedy, Crime, Horror","A group of friends think they find an easy score at an empty house with a safe full of cash. But when the owners, an elderly couple, come home early, the tables are suddenly turned.",92,6302,4.9
305,Cider no yô ni kotoba ga wakiagaru,Kyohei Ishiguro,"Somegorô Ichikawa, Hana Sugisaki, Kimberley Wong, Victoria Grace","Animation, Drama, Music","A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a shy girl who wears a mask and only does online videos.",87,1697,6.9
306,The Glorias,Julie Taymor,"Julianne Moore, Alicia Vikander, Janelle Monáe, Ryan Kiera Armstrong","Biography, Drama, History","The story of feminist icon Gloria Steinem's itinerant childhood and its influence on her life as a writer, activist and organizer for women's rights worldwide.",147,2752,5.6
307,To All the Boys: P.S. I Still Love You,Michael Fimognari,"Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart","Comedy, Drama, Romance",Lara Jean and Peter have just taken their relationship from pretend to officially official when another recipient of one of her old love letters enters the picture.,101,33351,6
308,Unpregnant,Rachel Lee Goldenberg,"Haley Lu Richardson, Barbie Ferreira, Giancarlo Esposito, Alex MacNicoll","Comedy, Drama","A 17-year old Missouri teen named Veronica discovers she has gotten pregnant, a development that threatens to end her dreams of matriculating at an Ivy League college, and the career that will follow.",103,6192,6.3
309,Like a Boss,Miguel Arteta,"Tiffany Haddish, Rose Byrne, Salma Hayek, Karan Soni",Comedy,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,83,12132,4.6
310,Al morir la matinée,Maximiliano Contenti,"Ricardo Islas, Luciana Grasso, Franco Duran, Julieta Spinelli",Horror,It's a soaking wet day with rain pouring down and one of the best things to do is to go seek refuge in a great old cinema. There's just one problem: a murderer is on the loose and he also has taken refuge there.,88,749,5.8
311,My Heart Can't Beat Unless You Tell It To,Jonathan Cuartas,"Patrick Fugit, Ingrid Sophie Schram, Owen Campbell, Moises L. Tovar","Drama, Horror",Two mysterious siblings find themselves at odds over care for their frail and sickly younger brother.,90,913,6
312,2050,Princeton Holt,"David Vaughn, Irina Abraham, Devin Fuller, Dean Cain","Drama, Fantasy, Sci-Fi",A family man struggling to hold it all together discovers a hidden parlor that offers a solution...sexbots.,106,773,3.6
313,Das schaurige Haus,Daniel Prochaska,"Lizbeth Eden, Marii Weichsler, Julia Koschitz, Leon Orlandianyi","Horror, Mystery, Thriller","Hendrik is sixteen, a big city kid, and vexed to learn that his mother is moving with him and his little brother Eddi to a village in the south of Austria. To make matters worse, the locals... See full summary »",100,2962,5.4
314,Joze to tora to sakanatachi,Kôtarô Tamura,"Kaya Kiyohara, Taishi Nakagawa, Matsutera Chiemi, Kengo Kawanishi","Animation, Drama, Romance",Tsuneo is a university student and Josee is a young girl who has rarely gone out of the house by herself due to her being unable to walk. The two meet when Tsuneo finds Josee's grandmother taking her out for a evening walk.,99,1586,8
315,Secret Society of Second-Born Royals,Anna Mastro,"Peyton Elizabeth Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble","Action, Adventure, Comedy",Follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.,99,4553,4.9
316,The Willoughbys,Kris Pearn,"Will Forte, Maya Rudolph, Alessia Cara, Terry Crews","Animation, Adventure, Comedy","Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family.",90,16213,6.4
317,Feel the Beat,Elissa Down,"Sofia Carson, Pamela MacDonald, Sonia Laplante, Nayo","Comedy, Drama, Family","After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.",109,9653,6.3
318,Bleed with Me,Amelia Moses,"Lee Marshall, Lauren Beatty, Aris Tyros","Horror, Thriller","During a winter getaway at an isolated cabin, a self-destructive young woman becomes convinced that her best friend is stealing her blood.",80,416,3.9
319,Sightless,Cooper Karl,"Madelaine Petsch, Alexander Koch, Deniz Akdeniz, Matthew Yang King","Drama, Thriller","After an attack renders her blind, Ellen Ashland withdraws from the world to recover. But soon she plunges into paranoia, unable to convince anyone that her assailant has returned to terrorize her by hiding in plain sight.",89,6913,5.5
320,Bigfoot Family,Jeremy Degruson,"Jules Medcraft, Kylian Trouillard, Alexis Victor, Marie Chevalot","Animation, Adventure, Family","Follow up to Son of Bigfoot: Father uses his new fame to fight against an Alaska oil company but when he disappears the son, the mother, a raccoon and a bear head North to rescue him.",89,2220,5.8
321,Kimetsu no Yaiba: Natagumo Yama Hen,Haruo Sotozaki,NA,"Animation, Action, Fantasy",Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.,138,1001,8.7
322,The Last Champion,Glenn Withrow,"Cole Hauser, Sean H. Scully, Annika Marks, Randall Batinkoff","Drama, Family, Sport","When his mother dies, scandal-ridden ex-Olympian John Wright returns to a hometown that has not forgiven him.",122,392,7.1
323,Monday,Argyris Papadimitropoulos,"Denise Gough, Sebastian Stan, Yorgos Pirpassopoulos, Michalis Laios","Drama, Romance","A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",116,2923,6.1
324,El robo del siglo,Ariel Winograd,"Guillermo Francella, Diego Peretti, Luis Luque, Pablo Rago","Action, Biography, Comedy","In 2006, a group of thieves performed what is considered one of the most famous and smart bank heists in the history of Argentina when they rob the Banco Río branch in Acassuso.",114,6330,7.2
325,Arkansas,Clark Duke,"Liam Hemsworth, Jacob Zachar, Patrick Muldoon, Clark Duke","Crime, Thriller","Kyle and Swin live by the orders of an Arkansas-based drug kingpin named Frog, whom they've never met. But when a deal goes horribly wrong, the consequences are deadly.",117,10952,6
326,Sublet,Eytan Fox,"John Benjamin Hickey, Niv Nissim, Lihi Kornowski, Miki Kam","Comedy, Drama, Romance",A New York Times travel writer comes to Tel Aviv after suffering a tragedy. The energy of the city and his relationship with a younger man brings him back to life.,89,1289,6.9
327,The Lost Husband,Vicky Wight,"Leslie Bibb, Josh Duhamel, Nora Dunn, Herizen F. Guardiola","Drama, Romance","Trying to put her life back together after her husband's death, Libby and her children move to her estranged aunt's goat farm in central Texas.",109,4141,6.1
328,Adieu les cons,Albert Dupontel,"Virginie Efira, Albert Dupontel, Nicolas Marié, Jackie Berroyer","Comedy, Drama",A seriously-ill woman tries to find her long-lost child with the help of a man in the middle of a burnout and a blind archivist.,87,2713,7
329,Black Beauty,Ashley Avis,"Kate Winslet, Mackenzie Foy, Iain Glen, Calam Lynch","Drama, Family",A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.,110,3015,6.4
330,Gabriel's Inferno: Part One,Tosca Musk,"Melanie Zanetti, Giulio Berruti, James Andrew Fraser, Margaux Brooke",Romance,"An intriguing exploration of seduction, forbidden love, and redemption, a captivating and passionate tale of one man's escape from his own personal hell as he tries to earn the impossible: forgiveness and love.",124,2544,6.3
331,The Call,Timothy Woodward Jr.,"Lin Shaye, Tobin Bell, Chester Rushing, Erin Sanders","Horror, Thriller","In the fall of 1987, a group of small-town friends must survive the night in the home of a sinister couple after a tragic accident brings them to the couple's door.",97,3445,4.2
332,Unearth,John C. Lyons,"Adrienne Barbeau, Marc Blucas, Allison McAtee, Brooke Sorenson","Drama, Horror","A fracking horror story, ""Unearth"" follows two neighboring farm families whose relationships are strained when one of them chooses to lease their land to an oil and gas company. In the ... See full summary »",94,759,5.1
333,Hogar,David Pastor,"Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz","Adventure, Drama, Thriller","Javier Muñoz, once a successful executive, makes the fateful decision to leave his home, which he and his family can no longer afford.",103,15693,6.4
334,W lesie dzis nie zasnie nikt,Bartosz M. Kowalski,"Julia Wieniawa-Narkiewicz, Michal Lupa, Wiktoria Gasiewska, Stanislaw Cywka","Horror, Thriller",A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,102,8550,4.8
335,Godmothered,Sharon Maguire,"June Squibb, Jillian Bell, Sonia Manzano, Carlease Burke","Comedy, Drama, Family",A young and unskilled fairy godmother ventures out on her own to prove her worth by tracking down a young girl whose request for help was ignored.,110,10792,6.1
336,Brahms: The Boy II,William Brent Bell,"Katie Holmes, Christopher Convery, Owain Yeoman, Ralph Ineson","Drama, Horror, Mystery","After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",86,14301,4.7
337,"Love, Guaranteed",Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden","Comedy, Romance","To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each other.",90,15559,5.6
338,Ludo,Anurag Basu,"Pankaj Tripathi, Abhishek Bachchan, Rajkummar Rao, Fatima Sana Shaikh","Action, Comedy, Crime","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",150,35466,7.6
339,Work It,Laura Terruso,"Keiynan Lonsdale, Liza Koshy, Briana Andrade-Gomes, Kalliane Brémault","Comedy, Music","When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school...now she just needs to learn how to dance.",93,11353,6.1
340,Intersect,Gus Holwerda,"James Morrison, Richard Dawkins, Jason Spisak, Abe Ruthless","Horror, Sci-Fi, Thriller","A group of young Miskatonic University scientists invent a time machine, only to learn that they are being manipulated by mysterious, unseen forces from another dimension.",119,3502,3.8
341,The Return,BJ Verot,"Richard Harmon, Echo Andersson, Sara Thompson, Marina Stephenson Kerr","Horror, Sci-Fi","After the death of his father, a brilliant college student returns to his family home where he learns that the horrors from his childhood aren't as dead and gone as he once thought.",90,193,4
342,Last Moment of Clarity,Colin Krisel,"Zach Avery, Brian Cox, Udo Kier, Samara Weaving",Thriller,"Three years after witnessing the murder of his fiancée, a man finds himself a fearful drifter, until one day at a Parisian cinema he sees an actress who looks a lot like his dead love, and eventually he finds the truth about his fiancée.",90,2085,5.2
343,Sister of the Groom,Amy Miller Gross,"Alicia Silverstone, Mathilde Ollivier, Jake Hoffman, Tom Everett Scott","Comedy, Drama, Romance","On Audrey's 40th birthday, her brother is marrying a girl he met in France. Secrets are revealed prior to the wedding. Audrey and the young, French fiancee do NOT get along.",92,490,4.6
344,Stargirl,Julia Hart,"Grace VanderWaal, Graham Verchere, Giancarlo Esposito, Maximiliano Hernández","Comedy, Drama, Fantasy","An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves - and each other.",107,4714,6.2
345,Downhill,Nat Faxon,"Julia Louis-Dreyfus, Will Ferrell, Zach Woods, Zoe Chao","Comedy, Drama","Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",86,11064,4.9
346,Here Are the Young Men,Eoin Macken,"Dean-Charles Chapman, Finn Cole, Anya Taylor-Joy, Ferdia Walsh-Peelo",Drama,"Dublin teenagers Matthew, nihilistic Rez, and the deranged Kearney, leave school to a social vacuum of drinking and drugs, falling into shocking acts of transgression.",96,674,4.9
347,Rams,Jeremy Sims,"Sam Neill, Michael Caton, Wayne Blair, Kipan Rothbury","Comedy, Drama",A decades-long feud between two sheep farming brothers comes to a head when disaster strikes their flocks.,118,1924,6.4
348,Hard Kill,Matt Eskandari,"Jesse Metcalfe, Bruce Willis, Lala Kent, Natalie Eva Marie","Action, Thriller","The work of billionaire tech CEO Donovan Chalmers (Willis) is so valuable that he hires mercenaries to protect it, and a terrorist group kidnaps his daughter just to get it.",98,19189,3.3
349,Infamous,Joshua Caldwell,"Bella Thorne, Jake Manley, Amber Riley, Michael Sirow","Crime, Drama, Romance","Two young lovers rob their way across the southland, posting their exploits to social media, and gaining fame and followers as a result.",100,2683,4.2
350,Chal Mera Putt 2,Janjot Singh,"Amrinder Gill, Simi Chahal, Nasir Chinyoti, Garry Sandhu",Drama,"Friendship and love between illegal immigrants struggling and facing challenges. Showing us that when it comes to the struggle of life, no border can divide human hearts and the love inside.",124,2596,9.2
351,Mila,Christos Nikou,"Aris Servetalis, Sofia Georgovassili, Anna Kalaitzidou, Argyris Bakirtzis","Comedy, Drama, Sci-Fi","Amidst a worldwide pandemic that causes sudden amnesia, middle-aged Aris finds himself enrolled in a recovery program designed to help unclaimed patients build new identities.",91,2379,6.9
352,1 Night in San Diego,Penelope Lawson,"Jenna Ushkowitz, Donna Pieroni, Laura Ashley Samuels, Brian Borello",Comedy,A former reality star and her best friend are invited to San Diego for a weekend getaway.,85,378,3.5
353,Bloodthirsty,Amelia Moses,"Lauren Beatty, Greg Bryk, Katharine King So, Judith Buchan","Horror, Thriller",Grey is an indie singer who is having visions that she is a wolf. When she gets an invitation to work with notorious music producer Vaughn Daniels at his remote studio in the woods she begins to find out who she really is.,84,750,4.7
354,Equal Standard,Brendan Kyle Cochrane,"Ice-T, Taheim Bryan, Jules Willcox, Marc John Jefferies","Action, Crime","New York City police officers lives collide in interweaving stories of race, rank, loss, and betrayal.",101,388,4.7
355,Four Kids and It,Andy De Emmony,"Teddie-Rose Malleson-Allen, Pippa Haywood, Matthew Goode, Ashley Aufderheide","Family, Fantasy",A group of kids on holiday in Cornwall meet a magical creature on the beach with the power to grant wishes.,110,1271,5.1
356,Ayyappanum Koshiyum,Sachy,"Biju Menon, Prithviraj Sukumaran, Ranjith, Anil Nedumangad","Action, Drama, Thriller","The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",177,5958,8
357,Shorta,Frederik Louis Hviid,"Jacob Lohmann, Simon Sears, Tarek Zayat, Dulfi Al-Jabouri","Action, Crime, Drama","Jens and Mike, two police officers on routine patrol, find themselves trapped in a maze of buildings when unrest spreads.",108,4102,6.5
358,My Salinger Year,Philippe Falardeau,"Margaret Qualley, Sigourney Weaver, Douglas Booth, Seána Kerslake",Drama,"A college grad takes a clerical job working for the literary agent of the renowned, reclusive writer J.D. Salinger.",101,2270,6.4
359,The Last Shift,Andrew Cohn,"Richard Jenkins, Shane Paul McGhie, Da'Vine Joy Randolph, Ed O'Neill","Comedy, Drama",Stanley's last shift at his fast food job takes an unexpected turn when he befriends a young African-American work employee.,90,1803,5.6
360,Retreat to Paradise,Brian Brough,"Melanie Stone, Casey Elliott, Brian Krause, Jaclyn Hales",Romance,"Ellie tends to the injured and cantankerous Jordan as he heals from a shoulder injury. Though he struggles to learn to use his arm again, his attitude leaves Ellie wanting to leave him in ... See full summary »",88,318,6.1
361,What Breaks the Ice,Rebecca Eskreis,"Madelyn Cline, Lukas Gage, Shakira Barrera, Sofia Hublitz",Drama,"Two teenage girls who come from different worlds strike up a quick and deep friendship during summer break in 1998, set against the backdrop of a world consumed by the Monica Lewinsky scandal.",99,29,7.4
362,Books of Blood,Brannon Braga,"Britt Robertson, Freda Foh Shen, Nicholas Campbell, Anna Friel","Drama, Horror, Mystery",A journey into uncharted and forbidden territory through three tales tangled in space and time.,107,5466,5.6
363,The Reckoning,Neil Marshall,"Charlotte Kirk, Sean Pertwee, Steven Waddington, Joe Anderson","Drama, Horror","Grace, a young widow haunted by the recent suicide of her husband Joseph, is falsely accused of being a witch by her Landlord after she rejects his advances.",110,2282,4.7
364,El practicante,Carles Torras,"Mario Casas, Déborah François, Guillermo Pfening, Maria Rodríguez Soto","Action, Adventure, Crime","Angel works in an ambulance service. After a tragic accident, his personal life begins to deteriorate as he becomes more and more suspicious of his partner Vane.",94,10683,5.6
365,Big House,Jack Lawrence Mayer,"Paige Collins, Albert Huber, Jacob Hurwitz-Goodman, Michael Molina","Comedy, Drama","Two sisters, two boyfriends, one simple birthday weekend getaway. Or it would have been, if not for the threesome, the love affair, the unexpected arrival of a fiancé, and the ensuing ... See full summary »",84,43,4.8
366,Sergio,Greg Barker,"Wagner Moura, Ana de Armas, Brían F. O'Byrne, Bradley Whitford","Biography, Drama, History","A sweeping drama set in the chaotic aftermath of the US invasion of Iraq, where the life of top UN diplomat Sergio Vieira de Mello hangs in the balance during the most treacherous mission of his career.",118,9007,6.1
367,Echo Boomers,Seth Savoy,"Michael Shannon, Patrick Schwarzenegger, Alex Pettyfer, Hayley Law","Action, Crime, Drama","Based on a true story, five college graduates decide the best way to get back at the unfair economy and live the life they've always wanted is to steal from Chicago's richest and give to themselves.",94,7130,6.1
368,The F**k-It List,Michael Duggan,"Eli Brown, Madison Iseman, Marcus Scribner, Karan Brar",Comedy,"After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.",103,5298,5.1
369,Kadaver,Jarand Herdal,"Gitte Witt, Thomas Gullestad, Thorbjørn Harr, Maria Grazia Di Meo","Drama, Horror, Thriller","In the starving aftermath of a nuclear disaster, a family of three attends a charitable event at a hotel, which takes a dark turn when people start to disappear.",86,8355,5.1
370,The Unhealer,Martin Guigui,"Lance Henriksen, Elijah Nelson, Shelby Janes, Kayla Carlson","Horror, Sci-Fi, Thriller","A botched faith healing bestows supernatural Shaman powers on a bullied teenager. When his lifelong tormentors pull a prank that kills someone he loves, he uses his powers for revenge and goes on a bloody rampage to settle the score.",94,603,4.6
371,The Lovebirds,Michael Showalter,"Issa Rae, Kumail Nanjiani, Paul Sparks, Anna Camp","Action, Comedy, Crime",A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,86,23557,6.1
372,Don't Tell a Soul,Alex McAulay,"Jack Dylan Grazer, Fionn Whitehead, Rainn Wilson, Mena Suvari","Drama, Thriller","Two thieving teenage brothers, stealing money to help their sick mom, match wits with a troubled security guard stuck at the bottom of a forgotten well.",83,3204,5.9
373,Still the Water,Susan Rodgers,"Ry Barrett, Colin Price, Spencer Graham, Christina McInulty",Drama,The men in a broken family reunite many years after a domestic tragedy drives them apart.,100,77,5.6
374,The Swing of Things,Matt Shapira,"Chord Overstreet, Olivia Culpo, Luke Wilson, Aleksander Vayshelboym",Comedy,A groom-to-be accidentally books his destination wedding and honeymoon at a swingers resort in Jamaica.,93,1301,2.9
375,A Nice Girl Like You,Chris Riedell,"Lucy Hale, Stormi Maya, Jackie Cruz, Mindy Cohn","Comedy, Romance","After being accused of being too inhibited by her ex-boyfriend, a violinist creates a rather wild to-do list that sends her on a whirlwind journey of self-discovery.",94,3623,5.1
376,Bronx,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, David Belle","Action, Crime, Drama","Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",116,7700,6.1
377,Hard Luck Love Song,Justin Corsbie,"Michael Dorman, Sophia Bush, Dermot Mulroney, RZA","Drama, Music, Romance",A gritty love story about a charismatic but down-on-his-luck troubadour living out of cheap motels and making bad decisions.,104,42,8.4
378,Dangerous Lies,Michael M. Scott,"Nick Purcha, Carlos Joe Costa, Camila Mendes, Briana Skye","Drama, Mystery, Thriller","When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she loves.",96,15583,5.3
379,Save Yourselves!,Alex Huston Fischer,"Sunita Mani, John Reynolds, Ben Sinclair, John Early","Adventure, Comedy, Sci-Fi","A young Brooklyn couple heads to an upstate cabin to unplug from their phones and reconnect with each other. Blissfully unaware of their surroundings, they are left to their own devices as the planet falls under attack.",93,5777,5.8
380,Bruised,Halle Berry,"Halle Berry, Stephen McKinley Henderson, Adan Canto, Shamier Anderson","Drama, Sport",A disgraced MMA fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life.,129,58,6.8
381,Yakuza and the Family,Michihito Fujii,"Gô Ayano, Naoyuki Fernandez, Hayato Ichihara, Hayato Isomura","Crime, Drama","Kenji Yamamoto's father died from using a stimulant drug. His life fell into desperation. Kenji then joined a crime syndicate. There, he meets the gang's boss Hiroshi Shibasaki. Hiroshi ... See full summary »",136,1439,7
382,Cut Throat City,RZA,"Shameik Moore, Demetrius Shipp Jr., Denzel Whitaker, Keean Johnson","Action, Crime, Drama","Set after Hurricane Katrina, four boyhood friends out of options reluctantly accept an offer to pull off a dangerous heist in the heart of New Orleans.",123,2169,4.8
383,Guest House,Sam Macaroni,"Pauly Shore, Mike Castle, Aimee Teegarden, Billy Zane",Comedy,"An newly engaged couple's buys their dream house but it comes with one small catch, a perennial party animal who lives in the guesthouse.",84,1812,4.4
384,Survive the Night,Matt Eskandari,"Bruce Willis, Chad Michael Murray, Shea Buckner, Tyler Jon Olson","Action, Drama, Thriller","A disgraced doctor and his family are held hostage at their home by criminals on the run, when a robbery-gone-awry requires them to seek immediate medical attention.",90,11113,4.1
385,Vento Seco,Daniel Nolasco,"Leandro Faria Lelo, Allan Jacinto Santana, Renata Carvalho, Rafael Teóphilo",Drama,"The area around Catalan in Brazil's state of Goiás is dry, very dry. Sandro's life here is just as dry--somewhat monotonous. He works in a fertilizer factory and divides his days between ... See full summary »",110,665,6.4
386,Sheytan vojud nadarad,Mohammad Rasoulof,"Baran Rasoulof, Mahtab Servati, Zhila Shahi, Mohammad Valizadegan",Drama,The four stories that are variations on the crucial themes of moral strength and the death penalty that ask to what extent individual freedom can be expressed under a despotic regime and its seemingly inescapable threats.,151,2714,7.5
387,Money Plane,Andrew Lawrence,"Adam Copeland, Kelsey Grammer, Thomas Jane, Denise Richards","Action, Crime, Thriller",A professional thief with $40 million in debt and his family's life on the line must commit one final heist - rob a futuristic airborne casino filled with the world's most dangerous criminals.,82,4929,3.2
388,Kandisha,Alexandre Bustillo,"Mathilde Lamusse, Suzy Bemba, Samarcande Saadi, Mériem Sarolie",Horror,"It is summer break and best friends Amélie, Bintou and Morjana hang together with the neighborhood teenagers. At night, they have fun sharing goosebumps stories and urban legends. But when ... See full summary »",85,426,5.5
389,Nakitai watashi wa neko o kaburu,Jun'ichi Satô,"Mirai Shida, Natsuki Hanae, Johnny Yong Bosch, Bob Buchholz","Animation, Adventure, Drama","Miyo Sasaki is in love with her classmate Kento Hinode and tries repeatedly to get Kento's attention by transforming into a cat, but at some point, the boundary between herself and the cat becomes ambiguous.",104,7433,6.7
390,The Christmas Chronicles: Part Two,Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison","Adventure, Comedy, Family","Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",112,24773,6
391,Violation,Dusty Mancinelli,"Madeleine Sims-Fewer, Anna Maguire, Jesse LaVercombe, Obi Abili","Drama, Horror","A troubled woman on the edge of divorce returns home to her younger sister after years apart. But when her sister and brother-in-law betray her trust, she embarks on a vicious crusade of revenge.",107,2828,5.4
392,Sylvie's Love,Eugene Ashe,"Tessa Thompson, Nnamdi Asomugha, Eva Longoria, Aja Naomi King","Drama, Music, Romance","When a young woman meets an aspiring saxophonist in her father's record shop in 1950s Harlem, their love ignites a sweeping romance that transcends changing times, geography, and professional success.",114,5198,6.8
393,A Perfect Enemy,Kike Maíllo,"Dominique Pinon, Tomasz Kot, Marta Nieto, Athena Strates","Action, Adventure, Crime","A successful architect is approached on his trip to the Paris Airport by a chatty girl. Although the meeting seems fortuitous, soon there be a turn that will transform the encounter into something much more sinister and criminal.",89,1194,5.4
394,El baile de los 41,David Pablos,"Alfonso Herrera, Emiliano Zurita, Mabel Cadena, Fernando Becerril","Biography, Drama, History","At the end of the 19th century, Ignacio de la Torre married the daughter of the president of Mexico, Porfirio Díaz. Ignacio leads a double life: he rises in the traditional world of politics while being a member of a clandestine society.",99,3281,6.8
395,Twelve,Angel Manuel Soto,"Jahi Di'Allo Winston, Meek Mill, William Catlett, Donielle T. Hansley Jr.",Drama,"Fourteen-year-old Mouse desperately wants to join the Midnight Clique, an infamous group of Baltimore dirt-bike riders who rule the summertime streets.",125,2043,6.7
396,Stardust,Gabriel Range,"Johnny Flynn, Marc Maron, Jena Malone, Derek Moran","Biography, Drama, Music",Stardust will chronicle the young David Bowie's first visit to the US in 1971 - a trip that inspired the invention of his iconic alter ego Ziggy Stardust.,109,1403,4.2
397,Legacy of Lies,Adrian Bol,"Scott Adkins, Anna Butkevich, Yuliia Sobol, Honor Kneafsey","Action, Thriller",An ex-MI6 agent is thrown back into the world of espionage and high stakes to uncover the shocking truth about operations conducted by unknown secret services.,101,2798,5
398,Quad,Michael Uppendahl,"Aaron Paul, Lena Olin, Tom Berenger, Celia Weston",Drama,A hard-living salesman becomes a quadriplegic after an accident.,100,672,6.4
399,Soldier's Heart,Michael Feifer,"Neal Bledsoe, Rob Mayes, Savannah Judy, Luke Judy",Western,"Haunted by wartime horrors, Civil War soldier-turned-bounty-hunter Frank Connor spends his time post-war polishing off two things: whiskey and fugitives.",140,1905,3.7
400,Khorshid,Majid Majidi,"Ali Nassirian, Javad Ezati, Tannaz Tabatabaei, Roohollah Zamani",Drama,"12-year-old Ali and his three friends, together they work hard to survive and support their families. In a turn of events that seems miraculous, Ali is entrusted to find hidden treasure underground.",99,1736,7.2
